OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
2030,16-038,3,40,Puente Aranda,CERTIFICADO,Vecinal,LA PRIMAVERA,JAC PRIMAVERA Y GORGONZOLA,16,,"-74,11057632729037","4,613579821969655"
2034,11-815,3,18,Suba,CERTIFICADO,Bolsillo,CAMINO DE LA ESTANCIA,,11,,"-74,05450174632062","4,751716862333765"
2035,01-512,5,14,Usaquén,CERTIFICADO,Bolsillo,AGRUPACIÓN DE VIVIENDA ALTOS DEL COUNTRY,,1,,"-74,03141116908492","4,7071324072261636"
2039,11-819,6,UPR1,Suba,CERTIFICADO,Vecinal,DESARROLLO SUBATÁ,,11,,"-74,07235026580128","4,767883240792119"
2040,11-1027,4,19,Suba,CERTIFICADO,Bolsillo,TIERRA LINDA,,11,,"-74,05540325242063","4,70940860314351"
2047,15-029,3,38,Antonio Nariño,CERTIFICADO,Vecinal,LUNA PARK,,15,,"-74,0963118131547","4,585892761161944"
2061,15-001,3,38,Antonio Nariño,CERTIFICADO,Bolsillo,URBANIZACIÓN CARLOS E. RESTREPO,,15,,"-74,10045344546646","4,589428467805954"
2066,13-018,4,107,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN QUINTA PAREDES EL POTRERO,,13,,"-74,09285411048953","4,633711176105775"
2079,13-095,3,100,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN GALERÍAS,,13,,"-74,07640376350221","4,642410501649353"
2088,13-108,4,100,Teusaquillo,CERTIFICADO,Bolsillo,URBANIZACIÓN GALERÍAS,,13,,"-74,07347550001774","4,641484619214798"
2091,13-113,4,109,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE CUARTA ETAPA DE DESARROLLO SECTOR II SM II (1, 2, 4, 5, 7, 8)",,13,,"-74,10594488452753","4,644619305494867"
2092,05-287,1,58,Usme,CERTIFICADO,Vecinal,ANTONIO JOSÉ DE SUCRE I Y II SECTOR,,5,,"-74,11368692766712","4,492396596971535"
2107,12-025,4,98,Barrios Unidos,CERTIFICADO,Bolsillo,7 DE AGOSTO,,12,,"-74,06984417142363","4,6551045325777665"
2110,12-099,4,21,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN ENTRE RÍOS,,12,,"-74,07579400415534","4,681485826763005"
2113,12-134,3,22,Barrios Unidos,CERTIFICADO,Vecinal,URBANIZACIÓN EL PORTAL DE JOSÉ JOAQUÍN VARGAS,,12,,"-74,08251116657382","4,671492096539454"
2123,12-100,4,21,Barrios Unidos,CERTIFICADO,Bolsillo,URBANIZACIÓN ENTRE RÍOS,,12,,"-74,07500156251399","4,681803111446309"
2129,11-076,2,28,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN AURES II,JAC AURES II SECTOR,11,,"-74,10196412027105","4,732627301624819"
2142,11-208,2,27,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN PINOS DE LOMBARDÍA,,11,,"-74,09501932071716","4,753343297377332"
2143,11-230,4,25,Suba,CERTIFICADO,Bolsillo,PONTEVEDRA(SAN NICOLÁS),,11,,"-74,07574732275245","4,698535295269997"
2154,11-148,4,25,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVO MONTERREY,,11,,"-74,07611523676022","4,695735518184335"
2156,11-095,5,20,Suba,CERTIFICADO,Vecinal,EL BATAN,,11,,"-74,05938638014463","4,706302507443954"
2158,11-237,2,28,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN EL JORDÁN NO. 1,,11,,"-74,08738433250491","4,719730216012957"
2160,11-093,2,71,Suba,CERTIFICADO,Vecinal,PUERTA DEL SOL,,11,,"-74,10739671923184","4,74595164213736"
2175,11-291,2,28,Suba,CERTIFICADO,Vecinal,AURES II,JAC AURES II SECTOR,11,,"-74,10304649047539","4,7348188386245305"
2179,11-327,2,71,Suba,CERTIFICADO,Bolsillo,CAÑIZA SECTOR I,,11,,"-74,10894604045825","4,737832549753346"
2190,11-166,2,71,Suba,CERTIFICADO,Vecinal,VILLA MARÍA I SECTOR,,11,,"-74,10677288418276","4,741038804997462"
2193,05-442,1,58,Usme,CERTIFICADO,Bolsillo,VILLA ANITA SUR,,5,,"-74,11751021950009","4,488719781993184"
2199,11-330,2,71,Suba,CERTIFICADO,Vecinal,DESARROLLO SANTA RITA,,11,,"-74,1251247364545","4,749763637103454"
2200,11-342,3,24,Suba,CERTIFICADO,Vecinal,IBERIA TRIANGULO II SECTOR ETAPA II,,11,,"-74,06753652118044","4,7217464934438915"
2205,11-540,2,71,Suba,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO VILLA CINDY,,11,,"-74,12968613982044","4,745506691095411"
2214,10-289,3,72,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN EL CORTIJO (QUINTA ETAPA),,10,,"-74,1183316008175","4,7287503814197995"
2216,10-190,4,31,Engativa,CERTIFICADO,Vecinal,"URBANIZACIÓN NORMANDÍA I, II, II Y IV SECTOR",,10,,"-74,1097047620388","4,671675036866205"
2218,10-271,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN VILLAS DE GRANADA,,10,,"-74,12548225381032","4,714278278635733"
2220,10-002,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN EL MADRIGAL PRIMER SECTOR,,10,,"-74,11338335594074","4,707252023075739"
2229,11-851,4,27,Suba,CERTIFICADO,Bolsillo,URBANIZACIÓN ATARDECERES DE SUBA,,11,,"-74,09041722366882","4,746101702634533"
2240,09-303,3,75,Fontibon,CERTIFICADO,Bolsillo,BOSTON RESERVADO,,9,,"-74,14516137993988","4,678270468504414"
2241,10-740,3,73,Engativa,CERTIFICADO,Vecinal,"URBANIZACIÓN EL PEDREGAL ETAPAS III, IV, V",,10,,"-74,118533318862","4,700875853517969"
2248,11-958,2,71,Suba,INVESTIGADO NO CERTIFICADO,Vecinal,URBANIZACIÓN LAS MARGARITAS,,11,,"-74,10924789954655","4,7518354133154705"
2257,11-826,2,27,Suba,CERTIFICADO,Vecinal,LAS QUINTAS DE SUBA,,11,,"-74,08217526897192","4,742842730726885"
2259,09-130,3,76,Fontibon,CERTIFICADO,Vecinal,BOHÍOS DE HUNZA,,9,,"-74,15380475625378","4,684835866280589"
2262,09-057,3,75,Fontibon,CERTIFICADO,Vecinal,THALÍA - BATAVIA,,9,,"-74,1535079371634","4,684005918911105"
2269,09-110,3,75,Fontibon,CERTIFICADO,Bolsillo,GRAMALOTES,,9,,"-74,14028654538814","4,671768524332336"
2270,01-024,4,13,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN EL CEDRAL,,1,,"-74,03442698731772","4,730867355422172"
2271,01-042,2,9,Usaquén,CERTIFICADO,Vecinal,DESARROLLO HORIZONTES,,1,,"-74,02301713589864","4,76279178129548"
2273,10-654,3,116,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN INDUSTRIAL PARAYAS,,10,,"-74,11768283751931","4,689838915668313"
2280,11-1145,2,23,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN COLINA CLUB RESIDENCIAL,,11,,"-74,0640279177255","4,7414983468277985"
2282,08-613,3,46,Kennedy,CERTIFICADO,Vecinal,CIUDAD TECHO I,,8,,"-74,15037298076437","4,637416250706805"
2284,08-651,3,46,Kennedy,CERTIFICADO,Bolsillo,RINCÓN DE LOS ÁNGELES II ETAPA,,8,,"-74,14256132897003","4,631570353644075"
2287,19-346,1,UPR3,Ciudad Bolivar,INVESTIGADO NO CERTIFICADO,Zonal Existente,ILLIMANI (PARAÍSO),IDRD,19,PZ85,"-74,16247136928916","4,546711841867134"
2290,19-403,1,69,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO EL MIRADOR DE LA ESTANCIA,,19,,"-74,17812821372476","4,589116211208648"
2300,10-055,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA MARÍA 1 Y2,,10,,"-74,09491879699107","4,692102806534198"
2305,04-472,2,50,San Cristobal,SIN CERTIFICAR,Vecinal,SAN MARTIN,,4,,"-74,1005304364762","4,551908035120147"
2306,08-815,2,46,Kennedy,SIN CERTIFICAR,Vecinal,LA PAMPA,,8,,"-74,13836125271501","4,651983324549671"
2308,08-224,3,46,Kennedy,CERTIFICADO,Vecinal,VILLA ALSACIA,,8,,"-74,13686134646491","4,6426122289519824"
2311,19-447,1,67,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ALTOS DE JALISCO,,19,,"-74,14132506523023","4,558116947849339"
2312,18-280,3,39,Rafael Uribe,CERTIFICADO,Vecinal,CANAL ALBINA,JAC  BARRIO GUSTAVO RESTREPO,18,,"-74,11071453624095","4,5870304029842766"
2320,13-151,4,109,Teusaquillo,CERTIFICADO,Vecinal,URBANIZACIÓN LOS CAMBULOS,,13,,"-74,10322421945943","4,6388130903581155"
2329,10-178,3,30,Engativa,CERTIFICADO,Vecinal,"URBANIZACIÓN TABORA, DESARROLLO URBANÍSTICO RESIDENCIAL E INSTITUCIONAL TABORA MANZANA H",,10,,"-74,10040556077024","4,692792301332733"
2332,10-105,3,30,Engativa,CERTIFICADO,Vecinal,LA FLORIDA,,10,,"-74,11095333224883","4,693300740615824"
2350,10-283,3,72,Engativa,INVESTIGADO NO CERTIFICADO,Vecinal,URBANIZACIÓN EL CORTIJO (CUARTA ETAPA),,10,,"-74,11676842891686","4,727078687468074"
2352,10-051,3,72,Engativa,CERTIFICADO,Vecinal,"URBANIZACIÓN BOLIVIA OCCIDENTAL IV, V Y VI ETAPAS",,10,,"-74,111917299558","4,719558919271543"
2361,10-187,3,26,Engativa,INVESTIGADO NO CERTIFICADO,Zonal Propuesto,BONANZA,,10,PZ10,"-74,08983462308795","4,6921766812486485"
2366,10-298,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN SAN CAYETANO PRIMER SECTOR,,10,,"-74,10297462660014","4,703041995429558"
2372,05-410,1,57,Usme,CERTIFICADO,Bolsillo,DESARROLLO COMPOSTELA II SECTOR,,5,,"-74,09987526504592","4,5088217606975665"
2383,10-188,3,26,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN SAN JOAQUÍN NORTE,,10,,"-74,09695435472122","4,677685785878983"
2388,10-195,2,74,Engativa,CERTIFICADO,Vecinal,DESARROLLO LINTERAMA,,10,,"-74,13690602552305","4,7112039980284415"
2389,10-436,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN GARCÉS NAVAS,,10,,"-74,1186082522806","4,710900165610505"
2397,10-048,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN TABORA,,10,,"-74,10051848484049","4,695239521034758"
2406,10-057,4,31,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN NORMANDÍA IV SECTOR,,10,,"-74,10563776265914","4,6738532585879256"
2411,10-191,3,30,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN TABORA,,10,,"-74,10148290579892","4,694001692939613"
2423,08-061,2,45,Kennedy,INVESTIGADO NO CERTIFICADO,Bolsillo,DESARROLLO ALQUERÍAS DE LA FRAGUA,,8,,"-74,13555594523675","4,603057489650466"
2433,08-349,3,47,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN CIUDAD KENNEDY SUPERMANZANA 10,,8,,"-74,15763798075886","4,620692722063073"
2445,02-054,6,97,Chapinero,CERTIFICADO,Vecinal,"CONJUNTO DE LA 100, LA GRAN VÍA, CHICO RESERVADO PRIMER SECTOR, LA GRAN VÍA",ASOCIACION DE VECINOS SANTA CLARA ASOSANTACLARA,2,,"-74,04137810607048","4,679907757518477"
2453,04-399,2,33,San Cristobal,CERTIFICADO,Vecinal,EL RINCÓN DE SAN NICOLÁS,,4,,"-74,08055139117019","4,572116536078547"
2455,04-279,2,50,San Cristobal,CERTIFICADO,Bolsillo,GUACAMAYAS,JAC GUACAMAYAS II SECTOR,4,,"-74,1006794961771","4,557047241877272"
2457,04-283,2,50,San Cristobal,CERTIFICADO,Bolsillo,LAS GUACAMAYAS,JAC GUACAMAYAS II SECTOR,4,,"-74,09937762892125","4,557757660711628"
2459,10-499,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN MEISSEN SIDAUTO,,10,,"-74,0968928003613","4,713053771197616"
2467,01-306,2,9,Usaquén,CERTIFICADO,Bolsillo,DESARROLLO BUENAVISTA,,1,,"-74,02630195329579","4,765010676065722"
2472,11-592,2,28,Suba,CERTIFICADO,Vecinal,AURES II,JAC AURES II SECTOR,11,,"-74,0998086392471","4,733660867981617"
2475,01-308,2,10,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN LA MARÍA,,1,,"-74,02392273112982","4,7560712132200225"
2485,18-031,2,55,Rafael Uribe,CERTIFICADO,Zonal Existente,DIANA TURBAY,IDRD,18,PZ12,"-74,10431743771917","4,543865576356183"
2504,11-959,5,24,Suba,CERTIFICADO,Vecinal,AGRUPACIÓN DE VIVIENDA GRATAMIRA,,11,,"-74,07408645726804","4,7272937998211955"
2512,11-356,2,71,Suba,CERTIFICADO,Vecinal,MIRAMAR- SAN JOSÉ DE TIBABUYES,,11,,"-74,11666665069347","4,74034715831526"
2517,11-878,2,27,Suba,CERTIFICADO,Vecinal,DESARROLLO LONDRES,,11,,"-74,09665866750808","4,7601954812463205"
2520,11-1260,3,27,Suba,SIN CERTIFICAR,Vecinal,URB SUBA 153 PARQUE EXIGIDO,,11,,"-74,09113774978181","4,754995062310991"
2523,10-291,3,105,Engativa,CERTIFICADO,Metropolitano Existente,SIMÓN BOLÍVAR ( SECTOR JARDÍN BOTÁNICO ),JARDIN BOTANICO,10,PM1,"-74,10019851706356","4,66788670824592"
2529,11-963,3,27,Suba,CERTIFICADO,Vecinal,AGRUPACIÓN DE VIVIENDA LA PRADERA DE SUBA,,11,,"-74,08930053063409","4,752743247811629"
2536,10-328,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LA SERENA,,10,,"-74,09400009264495","4,711975375858795"
2537,10-366,3,26,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN EL GUALÍ RÍO NUEVO,,10,,"-74,09247145737373","4,671809882304073"
2538,10-414,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN TISQUESUSA,,10,,"-74,09510914191495","4,703131443046837"
2548,10-430,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN GARCÉS NAVAS,,10,,"-74,11818974785098","4,7154076888202825"
2549,10-434,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN GARCÉS NAVAS,,10,,"-74,1205686003602","4,7094143752168645"
2550,10-378,3,31,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA CECILIA,,10,,"-74,11059164221851","4,678461586045215"
2551,10-449,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN QUIRIGUA,,10,,"-74,10746699758062","4,707835956100339"
2554,19-573,3,69,Ciudad Bolivar,CERTIFICADO,Vecinal,URBANIZACIÓN BALMORAL I ETAPA,,19,,"-74,16268501471487","4,589952840467031"
2558,10-439,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN QUIRIGUA,,10,,"-74,09989744984019","4,711937255030966"
2563,10-465,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN QUIRIGUA,,10,,"-74,10263619709664","4,7113821284065285"
2567,10-504,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN MEISSEN SIDAUTO,,10,,"-74,09489167999675","4,7123687790087345"
2569,10-510,3,73,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN GRAN GRANADA I Y II ETAPA,,10,,"-74,12457871661944","4,721152085932777"
2575,19-363,1,70,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO ARBORIZADORA ALTA,,19,,"-74,15533406166821","4,568280040280319"
2583,10-240,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN QUIRIGUA,,10,,"-74,10415777475382","4,709553120809787"
2593,10-584,3,72,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN CIUDADELA COLSUBSIDIO SECTOR IV,,10,,"-74,11653524917615","4,732565528580116"
2599,10-626,3,72,Engativa,CERTIFICADO,Bolsillo,"URBANIZACIÓN CIUDADELA COLSUBSIDIO SECTORES II, III Y V",,10,,"-74,11359117803761","4,725797342911182"
2607,09-087,4,110,Fontibon,CERTIFICADO,Vecinal,CIUDAD SALITRE ETAPA 1 SECTOR 1,,9,,"-74,1099626414074","4,656664957445026"
2608,18-111,2,55,Rafael Uribe,CERTIFICADO,Vecinal,DESARROLLO DIANA TURBAY,,18,,"-74,1105983005314","4,54623760321584"
2614,09-053,4,114,Fontibon,CERTIFICADO,Vecinal,URB. MODELIA SECTOR E,,9,,"-74,12602129373559","4,663911983844274"
2616,09-119,3,75,Fontibon,CERTIFICADO,Vecinal,URBANIZACIÓN EL TRIUNFO,,9,,"-74,1407158812543","4,686489658687633"
2623,10-644,3,26,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS ALMENDROS NO. 2,,10,,"-74,10206341644928","4,676182498189123"
2626,09-003,3,114,Fontibon,CERTIFICADO,Vecinal,LA FUENTE DEL DORADO II SECTOR,,9,,"-74,12934955770231","4,67020468548913"
2630,09-068,4,114,Fontibon,CERTIFICADO,Vecinal,MODELIA SECTOR A,,9,,"-74,11857659070924","4,670692099550767"
2633,10-675,2,105,Engativa,CERTIFICADO,Vecinal,DESARROLLO EL SALITRE SECTOR LUIS MARÍA FERNÁNDEZ,,10,,"-74,10018644819772","4,659058941907173"
2638,09-153,3,75,Fontibon,INVESTIGADO NO CERTIFICADO,Vecinal,BARRIO CENTRO FONTIBÓN,,9,,"-74,14473882949821","4,6732950739599035"
2639,09-004,3,75,Fontibon,CERTIFICADO,Vecinal,LA GIRALDA,,9,,"-74,14079104374328","4,6815492316494325"
2643,09-248,3,115,Fontibon,CERTIFICADO,Bolsillo,AEROCENTRO COMERCIAL EL DORADO,,9,,"-74,11877926995112","4,676584790005419"
2652,08-150,2,48,Kennedy,CERTIFICADO,Vecinal,SAN MARTIN DE PORRES ETAPAS I Y II,JUNTA DE ACCION COMUNAL DEL BARRIO SAN MARTIN,8,,"-74,16401329288922","4,612021495612508"
2660,05-326,1,59,Usme,CERTIFICADO,Bolsillo,PUERTA AL LLANO I SECTOR,,5,,"-74,10104252290054","4,488899500690268"
2668,08-695,2,82,Kennedy,CERTIFICADO,Vecinal,CIUDAD GALÁN,,8,,"-74,17251690347219","4,645932379820483"
2685,08-094,2,46,Kennedy,CERTIFICADO,Vecinal,DESARROLLO ANDALUCÍA,,8,,"-74,13839749075359","4,653495976662718"
2689,19-548,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,"DESARROLLO LA ESMERALDA SUR, DESARROLLO LOS ANDES SECTOR 5 NUTIBARA",,19,,"-74,15284311378457","4,5466747341767135"
2694,01-264,6,15,Usaquén,CERTIFICADO,Vecinal,URBANIZACIÓN CONJUNTO RESIDENCIAL SABANALARGA,,1,,"-74,04460312486495","4,705990249402664"
2695,01-271,1,14,Usaquén,CERTIFICADO,Bolsillo,URBANIZACIÓN EL PAÑUELITO,,1,,"-74,02364076792844","4,70383951409473"
2696,01-272,1,14,Usaquén,CERTIFICADO,Bolsillo,URBANIZACIÓN EL PAÑUELITO,,1,,"-74,02393418195474","4,704081070824554"
2697,08-402,4,44,Kennedy,CERTIFICADO,Vecinal,LAURELES II SECTOR,,8,,"-74,14486409327638","4,62586105163577"
2703,08-206,2,82,Kennedy,CERTIFICADO,Vecinal,PATIO BONITO II SECTOR,,8,,"-74,16385223843349","4,638027659229525"
2716,08-071,3,48,Kennedy,CERTIFICADO,Vecinal,BERTHA HERNÁNDEZ DE OSPINA,,8,,"-74,17473043857052","4,613287379622029"
2733,08-334,2,82,Kennedy,CERTIFICADO,Vecinal,VILLA HERMOSA,,8,,"-74,16806795929836","4,634579446314724"
2737,08-023,2,48,Kennedy,CERTIFICADO,Vecinal,EL PARQUE,,8,,"-74,15124528488028","4,606225114864765"
2767,08-392,3,47,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA 6,,8,,"-74,15055607763136","4,618283161784213"
2768,08-017,3,47,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA 16,,8,,"-74,15919904925424","4,6170399541128315"
2772,09-311,4,114,Fontibon,SIN CERTIFICAR,Vecinal,URB LA ESPERANZA ETAPA A (VILLA ZAMOR,,9,,"-74,12058750136293","4,661845153633467"
2773,08-294,3,47,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY OCCIDENTAL SUPERMANZANA 14,,8,,"-74,16083920857135","4,622811113457804"
2774,08-286,3,47,Kennedy,CERTIFICADO,Bolsillo,KENNEDY SUPERMANZANA 9B,,8,,"-74,15256428615268","4,625879638159153"
2776,08-483,2,82,Kennedy,CERTIFICADO,Vecinal,CIUDAD DE CALI,,8,,"-74,16885818255011","4,634533736371504"
2781,08-185,2,48,Kennedy,CERTIFICADO,Vecinal,VILLA DE LOS SAUCES,JUNTA DE ACCION COMUNAL VILLA DE LOS SAUCES,8,,"-74,17636750947969","4,605675693343886"
2789,08-419,3,44,Kennedy,CERTIFICADO,Metropolitano Existente,MUNDO AVENTURA ( AMÉRICAS ),CORPARQUES,8,PM12,"-74,13526395099775","4,622804239614538"
2790,16-383,3,40,Puente Aranda,CERTIFICADO,Vecinal,URBANIZACIÓN PARQUES DE PRIMAVERA,,16,,"-74,10767744275812","4,612005714212561"
2792,13-175,4,100,Teusaquillo,CERTIFICADO,Escenario Deportivo,UNIDAD DEPORTIVA EL CAMPIN (SECTOR CLUB DE TENNIS DEL CAMPIN),CLUB DE TENIS,13,,"-74,07538832676967","4,648271031187788"
2793,08-117,3,45,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN SINALOA,,8,,"-74,1319453169709","4,60591698045989"
2795,08-458,3,46,Kennedy,CERTIFICADO,Vecinal,CIUDAD URBISA I Y II SECTOR - CASTILLA REAL (2 SECTOR),,8,,"-74,14136100323148","4,642707567116421"
2796,18-014,2,53,Rafael Uribe,CERTIFICADO,Vecinal,DESARROLLO LAS LOMAS,,18,,"-74,10669127403582","4,564749453767111"
2797,18-043,2,55,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN LOS MOLINOS II SECTOR,,18,,"-74,10780452113316","4,549803192537405"
2802,05-439,1,58,Usme,CERTIFICADO,Vecinal,BRAZUELOS SECTOR EL PARAÍSO,,5,,"-74,12104453049268","4,495325678430293"
2822,05-404,1,59,Usme,CERTIFICADO,Vecinal,PUERTA AL LLANO I Y II SECTOR,,5,,"-74,09902545474475","4,488899396295066"
2823,08-697,2,81,Kennedy,CERTIFICADO,Vecinal,VILLA ANDREA,,8,,"-74,17638442924806","4,6220051350842635"
2828,08-550,2,48,Kennedy,CERTIFICADO,Vecinal,CATALINA II,,8,,"-74,1693107519936","4,6077263052274375"
2838,07-013,2,85,Bosa,CERTIFICADO,Vecinal,DESARROLLO GRANCOLOMBIANO 1 SECTOR,,7,,"-74,19970847143958","4,611721656232512"
2841,11-881,2,27,Suba,CERTIFICADO,Vecinal,"DESARROLLO ACACIAS, DESARROLLO LOS MONARCAS",,11,,"-74,09302916384146","4,758204690816757"
2845,07-022,2,85,Bosa,CERTIFICADO,Vecinal,DESARROLLO PALESTINA,,7,,"-74,1934416241424","4,610085435094691"
2847,07-063,2,85,Bosa,CERTIFICADO,Bolsillo,DESARROLLO PIAMONTE I,,7,,"-74,1907699572323","4,604328124503111"
2882,04-373,3,34,San Cristobal,CERTIFICADO,Bolsillo,BARRIO BARCELONA SUR ORIENTAL,,4,,"-74,1021563018005","4,566109965424204"
2884,05-061,1,52,Usme,CERTIFICADO,Bolsillo,DESARROLLO LOS ARRAYANES,,5,,"-74,08564261056009","4,4981975718299605"
2892,07-037,3,49,Bosa,CERTIFICADO,Vecinal,URBANIZACIÓN VILLA DEL RÍO LOTE 2A,,7,,"-74,15416663942189","4,601367352188866"
2897,07-091,2,85,Bosa,CERTIFICADO,Vecinal,URBANIZACIÓN LA SULTANA DEL SUR,,7,,"-74,18286090919656","4,610061908707233"
2898,01-046,6,16,Usaquén,CERTIFICADO,Vecinal,NUEVA URBANIZACIÓN SANTA BÁRBARA,,1,,"-74,04445537850103","4,702283122980102"
2913,07-272,2,84,Bosa,CERTIFICADO,Bolsillo,NUEVA ESCOCIA,,7,,"-74,1856801113665","4,622437278767212"
2915,07-216,2,85,Bosa,CERTIFICADO,Bolsillo,CHARLES DE GAULLE,,7,,"-74,20158997797995","4,6067620855919245"
2921,19-691,1,67,Ciudad Bolivar,CERTIFICADO,Vecinal,DESARROLLO BELLA FLOR,,19,,"-74,15934105089192","4,544526449226096"
2922,18-431,3,36,Rafael Uribe,CERTIFICADO,Vecinal,URBANIZACIÓN PORTAL DE SAN CARLOS,,18,,"-74,10229568215419","4,574293792152"
2927,06-031,3,42,Tunjuelito,CERTIFICADO,Vecinal,URBANIZACIÓN EL TUNAL II,,6,,"-74,12860252185612","4,572281474998794"
2929,02-062,3,99,Chapinero,INVESTIGADO NO CERTIFICADO,Bolsillo,CHAPINERO CENTRAL,,2,,"-74,06127815173376","4,64815538400508"
2947,06-049,3,42,Tunjuelito,CERTIFICADO,Vecinal,URBANIZACIÓN EL TUNAL II,,6,,"-74,13703383961828","4,577946216778882"
2950,06-065,3,42,Tunjuelito,CERTIFICADO,Vecinal,URBANIZACIÓN EL TUNAL II,,6,,"-74,13406632649327","4,5762388202279585"
2952,11-682,4,27,Suba,CERTIFICADO,Vecinal,"URBANIZACIÓN VALLE DE REFOUS SECTORES 1,2,3,4,5",,11,,"-74,0901731581435","4,7474772590237535"
2959,06-091,2,42,Tunjuelito,INVESTIGADO NO CERTIFICADO,Vecinal,URBANIZACIÓN EL TRIANGULO,,6,,"-74,1423156419856","4,5859737072927365"
2961,11-830,3,27,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN AGRUPACIÓN DE VIVIENDA PRADOS DE SUBA,,11,,"-74,08631631423467","4,741731370822944"
2967,05-004,2,57,Usme,CERTIFICADO,Zonal Existente,LA ANDREA,IDRD,5,PZ65,"-74,11111392631796","4,510115645309237"
2974,08-134,2,48,Kennedy,CERTIFICADO,Vecinal,UNIDAD VECINAL PASTRANA,,8,,"-74,16015363590607","4,615410136352051"
2977,04-068,3,33,San Cristobal,CERTIFICADO,Bolsillo,URBANIZACIÓN EL VELÓDROMO,,4,,"-74,08916431594346","4,57500609008294"
2978,04-143,3,34,San Cristobal,CERTIFICADO,Vecinal,SERAFINA SEGUNDO SECTOR,,4,,"-74,09708903149607","4,5702570856790246"
2981,04-286,2,34,San Cristobal,CERTIFICADO,Vecinal,VILLA DE LOS ALPES,,4,,"-74,09959457790141","4,563405103206199"
2985,04-074,2,50,San Cristobal,INVESTIGADO NO CERTIFICADO,Vecinal,BARRIO LA GLORIA,,4,,"-74,08849346891147","4,544114976641402"
2987,04-169,2,51,San Cristobal,CERTIFICADO,Vecinal,URBANIZACIÓN LA PENÍNSULA,,4,,"-74,10216800729782","4,546358029489307"
2993,04-331,2,50,San Cristobal,CERTIFICADO,Vecinal,ALTOS DEL VIRREY ETAPA I,,4,,"-74,08168524382349","4,541660176219052"
2995,04-078,2,32,San Cristobal,CERTIFICADO,Vecinal,URBANIZACIÓN HORACIO ORJUELA,,4,,"-74,0876230912327","4,556527451842312"
3001,19-746,1,69,Ciudad Bolivar,SIN CERTIFICAR,Vecinal,SIERRA MORENA,,19,,"-74,16686636783356","4,574344945070445"
