OBJECTID,Identificador del parque,Estrato,UPZ,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Administración del Parque,Código Localidad,Código POT,coord_x,coord_y
2116,18-407,2,54,Rafael Uribe,CERTIFICADO,Bolsillo,URBANIZACIÓN LOS MOLINOS I SECTOR,,18,,"-74,11035728927803","4,5565412935824705"
2131,11-082,2,28,Suba,CERTIFICADO,Vecinal,VILLA MARÍA II SECTOR,,11,,"-74,10390605558227","4,74215808991684"
2133,11-077,2,28,Suba,CERTIFICADO,Vecinal,VILLA MARÍA II SECTOR,,11,,"-74,10378434374275","4,740641844538027"
2141,11-207,3,27,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN TURINGIA II,,11,,"-74,09299506918316","4,750751307339414"
2157,11-065,3,19,Suba,CERTIFICADO,Vecinal,TIERRA LINDA,,11,,"-74,05585822261173","4,711552760642464"
2176,11-292,2,71,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN LA TOSCANA,,11,,"-74,11515481885883","4,744373458080796"
2178,10-716,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN LA ESPAÑOLA,,10,,"-74,09930057682607","4,705478298224537"
2182,11-355,5,24,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN LA COLINA CAMPESTRE PRIMERA ETAPA MANZANAS 1-2-14-15-16-17 (IBERIA),,11,,"-74,06592957392687","4,7235349322403115"
2184,11-359,2,28,Suba,CERTIFICADO,Vecinal,AURES II,JAC AURES II SECTOR,11,,"-74,10054679973825","4,735649356433417"
2186,10-746,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESPAÑOLA,,10,,"-74,09890752885497","4,705353511729826"
2188,10-748,3,29,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN LA ESPAÑOLA,,10,,"-74,09774479356865","4,705354523892106"
2203,11-368,2,71,Suba,SIN CERTIFICAR,Zonal Existente,FONTANAR DEL RIO,IDRD,11,PZ84,"-74,11307862673512","4,757987719170015"
2207,11-579,3,19,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN CONDADO DE IBERIA III,,11,,"-74,05870543290476","4,7218970594504714"
2212,11-362,3,27,Suba,CERTIFICADO,Vecinal,URBANIZACIÓN COMPARTIR III ETAPA,,11,,"-74,1031616059858","4,755278862899395"
2223,10-267,3,73,Engativa,CERTIFICADO,Vecinal,ÁLAMOS GARCÉS NAVAS,,10,,"-74,1199310188415","4,707498131166517"
2224,09-012,3,75,Fontibon,CERTIFICADO,Vecinal,BATAVIA,,9,,"-74,15266995677618","4,683001779922166"
2226,10-095,3,31,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN SANTA CECILIA,,10,,"-74,11221594088096","4,677547789277796"
2235,10-019,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN QUIRIGUA,,10,,"-74,10030402329537","4,710567758237152"
2236,10-233,3,29,Engativa,CERTIFICADO,Vecinal,URBANIZACIÓN QUIRIGUA,,10,,"-74,09873471455387","4,712748530133203"
2243,10-091,3,29,Engativa,INVESTIGADO NO CERTIFICADO,Vecinal,URBANIZACIÓN LA PALESTINA,,10,,"-74,09283516546934","4,698570190683597"
2246,10-003,3,30,Engativa,CERTIFICADO,Vecinal,GRANJA,,10,,"-74,09721436713947","4,6983448435634205"
2249,10-100,2,74,Engativa,CERTIFICADO,Vecinal,"DESARROLLO VILLA EL DORADO NORTE, DESARR0LLO LAS MERCEDES, DESARROLLO VILLA EL DORADO SAN ANTONIO",,10,,"-74,12723199411735","4,7026698994811955"
2252,10-397,3,30,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN SAN CAYETANO SEGUNDO SECTOR,,10,,"-74,10292856054322","4,701783889753601"
2253,10-399,3,30,Engativa,CERTIFICADO,Bolsillo,URBANIZACIÓN SAN CAYETANO SEGUNDO SECTOR,,10,,"-74,1026053390683","4,702167693406066"
2260,17-005,2,94,Candelaria,CERTIFICADO,Bolsillo,BARRIO EGIPTO,,17,,"-74,07097788977879","4,592043627422875"
2264,09-103,3,75,Fontibon,CERTIFICADO,Bolsillo,URBANIZACIÓN LAREDO,,9,,"-74,1475730101772","4,681749619321513"
2285,08-652,2,79,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN TINTALÁ,,8,,"-74,15779145388272","4,6437467875982215"
2298,09-028,3,75,Fontibon,CERTIFICADO,Vecinal,"URBANIZACIÓN ARABIA - FONTIBÓN, URBANIZACIÓN UCRANIA",,9,,"-74,13539122879877","4,679127110210587"
2307,19-442,1,67,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ALTOS DE JALISCO,,19,,"-74,14105892809837","4,558400084635094"
2310,19-445,1,67,Ciudad Bolivar,CERTIFICADO,Bolsillo,DESARROLLO ALTOS DE JALISCO,,19,,"-74,14169249549522","4,557606187140792"
2313,16-301,3,41,Puente Aranda,CERTIFICADO,Vecinal,CANAL DE LA ALBINA,,16,,"-74,1175253722823","4,598321716502993"
2318,13-036,4,109,Teusaquillo,CERTIFICADO,Vecinal,"URBANIZACIÓN CIUDAD SALITRE SUPERMANZANAS SM III-14 Y 15, CIUDAD SALITRE SPMZ III 14-15",ASOBEL,13,,"-74,09882401293217","4,6420981234552805"
