"dgrid","Fecha","accidentes","Clas.Final","TemporadaTrafico","Eventos.Especiales","DiaMes","T_Med","T_Max","T_Min","Hum_Rel_Med","Prec_Tot","Vis_Med","Vel_Med_Viento","Vel_Max_S_Viento","Vel_Max_Raf_Viento","Ind_Lluvia","Ind_Nieve","Ind_Tormenta","Ind_Niebla","semaf_count_d","colegios_count_d","paraderos_count_d","parques_count_d","estaciones_count_d","viasprincipales_count_d","viassecudarias_count_d","viviendas_count_d","hogares_count_d","personas_count_d","comercial_count_d","lotes_count_d"
47,"2014-06-25",1,"Habil","Bajo Trafico","No",25,13.8,18,11,78,4.06,10.5,8.1,22.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-07-25",2,"VisperaDescanso","Moderado Trafico","No",25,14.6,20,8.7,63,0.51,11.6,14.3,33.5,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-25",2,"Habil","Normal Trafico","No",25,13.7,20.3,9,74,0,10.3,10,21.7,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-09-25",6,"Habil","Normal Trafico","No",25,14.4,22,8,68,NA,11.9,10.2,18.3,0,1,0,1,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-10-25",3,"Sabado","Normal Trafico","No",25,14.1,20.4,10,82,7.87,10.1,9.1,20.6,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-11-25",2,"Habil","Normal Trafico","No",25,13.5,18.7,8.6,71,0,12.2,10.2,14.8,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-01-26",4,"DomingoFestivo","Moderado Trafico","No",26,13.3,19.7,8,83,0,8.9,9.8,18.3,0,1,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-02-26",9,"Habil","Normal Trafico","No",26,14.2,19,11,83,0.51,7.9,8.9,25.9,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-03-26",6,"Habil","Normal Trafico","No",26,13.9,19,9,75,0,10.5,9.3,18.3,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-04-26",1,"Sabado","Normal Trafico","No",26,14.3,19,10.8,74,0,12.1,9.6,20.6,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-05-26",5,"Habil","Normal Trafico","No",26,13.6,19.2,7,71,0,10.9,10.6,25.9,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-06-26",2,"Habil","Bajo Trafico","No",26,13.4,18,9,68,1.02,11.6,12.4,24.1,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-07-26",4,"Sabado","Moderado Trafico","No",26,14.1,21,9,64,0.25,11.7,13,22.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-26",3,"Habil","Normal Trafico","No",26,13.1,17.4,9,75,3.05,11.1,12.2,22.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-09-26",4,"VisperaDescanso","Normal Trafico","No",26,13.3,21,6.3,73,11.94,10.8,8.7,22.2,0,1,0,1,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-10-26",3,"DomingoFestivo","Normal Trafico","No",26,13.6,18.3,11,84,8.89,10.5,8.7,25.2,0,1,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-11-26",5,"Habil","Normal Trafico","No",26,12.6,20,7,79,0,11.6,8.7,22.2,0,1,0,1,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-12-26",1,"VisperaDescanso","Bajo Trafico","No",26,12.9,21,4.8,65,0,11.7,10.9,25.9,0,0,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-01-27",1,"Habil","Normal Trafico","No",27,13.6,20,6.9,79,0,8.9,10,28.7,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-02-27",3,"Habil","Normal Trafico","No",27,14.3,18.8,10,82,0,10.9,8.9,21.7,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-03-27",2,"Habil","Normal Trafico","No",27,14.7,19,9,67,0,10.6,12.4,31.7,0,0,0,1,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-05-27",4,"Habil","Normal Trafico","No",27,13.4,17,9.5,79,0.51,10.1,8.3,18.3,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-06-27",1,"VisperaDescanso","Bajo Trafico","No",27,13.2,19,7,57,0,10.5,12.4,27.8,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-07-27",1,"DomingoFestivo","Moderado Trafico","No",27,13.8,20.8,9.8,66,0,12.1,11.5,35.9,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-08-27",4,"Habil","Normal Trafico","No",27,12.4,17.4,9.6,79,2.03,11.1,7.8,18.3,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-09-27",3,"Sabado","Normal Trafico","No",27,13.6,19.6,8,71,0,11.3,10.9,29.4,0,0,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-10-27",2,"Habil","Normal Trafico","No",27,13.9,19,9.7,79,8.89,10.6,6.5,18.3,0,1,0,1,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-11-27",7,"Habil","Normal Trafico","No",27,13.2,19.6,7,82,0.25,9.8,7.4,20.6,0,1,0,1,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-01-28",2,"Habil","Normal Trafico","No",28,13.2,20,8.9,74,NA,11.1,9.1,22.2,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-02-28",5,"VisperaDescanso","Normal Trafico","No",28,13.2,18.4,10.9,89,2.03,8.5,9.3,39.6,0,1,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-03-28",2,"VisperaDescanso","Normal Trafico","No",28,14.3,22,8,64,0,9.2,8.7,18.3,0,0,0,0,1,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
47,"2014-04-28",5,"Habil","Normal Trafico","No",28,15.6,21,12,71,3.05,10.9,8.7,18.3,0,1,0,0,0,68,107,197,101,10,7,2936,42207,45497,154391,8801,19086
