VIVIENDAS,HOGAR,PERSONA,Comercial,Lotes,Longitud,Latitud
50,50,189,0,40,-74.19929312,4.615509932
65,66,257,5,56,-74.19929166,4.614019081
100,100,312,9,32,-74.19927616,4.608879404
46,46,189,0,46,-74.19926682,4.615790316
48,52,186,9,38,-74.19925236,4.623854925
36,35,131,0,12,-74.19923872,4.611125006
71,74,331,0,66,-74.19923246,4.637309633
80,80,300,6,64,-74.1992324,4.614299788
32,42,184,0,25,-74.19923151,4.601520423
54,54,222,0,49,-74.19922897,4.616066939
5,5,20,0,21,-74.19922253,4.618420259
18,19,78,0,17,-74.19921958,4.619451447
24,23,86,0,7,-74.19921784,4.606038769
17,25,104,0,18,-74.19920617,4.621849013
80,79,307,5,64,-74.19917595,4.614583441
48,49,196,9,36,-74.19915989,4.62359168
18,20,75,5,22,-74.19915785,4.620718438
54,57,243,16,62,-74.19915759,4.636165485
52,52,195,0,45,-74.19912726,4.616325998
3,4,20,0,13,-74.19912491,4.618641728
75,75,305,10,64,-74.19911687,4.614866271
44,53,203,16,43,-74.19911575,4.627936122
22,23,92,9,18,-74.19911206,4.62256484
56,56,207,7,28,-74.19910949,4.611773299
29,44,190,0,29,-74.19909542,4.600728587
20,26,102,0,22,-74.19909269,4.622062428
12,18,67,8,26,-74.19908881,4.606342974
76,77,291,9,32,-74.19907163,4.609898606
18,25,106,7,16,-74.19906808,4.600046401
40,43,172,0,34,-74.19906564,4.623328191
11,15,56,6,13,-74.19906501,4.625548871
26,50,193,0,17,-74.19906411,4.602237403
35,79,260,6,34,-74.19903209,4.604546777
16,21,70,6,40,-74.19901395,4.626248929
58,112,555,0,5,-74.19901124,4.61884032
19,28,123,0,32,-74.19900815,4.626707751
20,25,103,0,31,-74.19900105,4.619769671
16,25,86,5,11,-74.19898748,4.60374223
41,41,207,0,66,-74.19898688,4.637450995
48,47,188,0,41,-74.19897882,4.616866826
37,38,136,14,31,-74.1989563,4.623074508
29,37,152,5,25,-74.19895219,4.601566856
51,54,185,6,23,-74.19892041,4.606912365
18,20,94,0,18,-74.19890502,4.622285149
46,48,206,7,34,-74.19890107,4.620868514
32,35,129,15,35,-74.19888091,4.628061114
18,36,130,0,16,-74.19887414,4.602897745
93,36,128,0,1,-74.19884376,4.630464277
11,11,38,0,12,-74.19883806,4.627172336
20,31,112,5,16,-74.1988309,4.60257104
13,19,87,0,14,-74.19881113,4.625646561
18,49,170,0,20,-74.19881068,4.603263316
36,48,196,0,33,-74.19881052,4.600723642
15,15,54,0,19,-74.19880199,4.616549095
52,103,514,0,45,-74.19879703,4.636724912
24,50,184,9,16,-74.1987821,4.599988874
74,74,223,13,27,-74.19878058,4.608483253
78,77,271,8,31,-74.19874002,4.611643089
34,69,254,13,38,-74.19873427,4.605619453
60,62,248,11,64,-74.1987253,4.635393312
13,12,53,0,12,-74.19871952,4.626910476
53,78,320,0,40,-74.19871279,4.601825775
27,35,142,0,34,-74.1987096,4.642336625
52,62,275,7,47,-74.1986635,4.621295924
95,96,313,24,37,-74.19866228,4.60803518
19,22,87,0,25,-74.19865794,4.642040148
10,11,50,0,46,-74.19865474,4.636480631
37,37,110,0,15,-74.19865312,4.609129143
46,55,212,12,42,-74.19864239,4.628161296
18,17,53,5,14,-74.19864213,4.615171872
38,81,306,5,31,-74.19863056,4.604441019
26,26,86,0,11,-74.19860214,4.612332457
19,21,79,0,13,-74.19860143,4.626647329
33,55,182,0,39,-74.19857915,4.62535684
16,22,68,0,16,-74.19855759,4.625742664
15,15,59,0,7,-74.19855249,4.615561737
83,82,301,12,36,-74.19855053,4.610513546
25,38,126,10,12,-74.19852873,4.602038034
71,71,215,9,30,-74.19852818,4.606724572
37,53,216,0,35,-74.19852543,4.600717658
7,7,21,0,4,-74.1985149,4.619818141
57,79,317,0,61,-74.19851027,4.622173588
23,33,124,0,28,-74.19850779,4.641798035
46,48,212,6,48,-74.19850573,4.636224297
19,32,139,0,16,-74.1984997,4.599929027
32,45,170,5,44,-74.19849547,4.625089612
8,9,38,0,6,-74.19849178,4.615825704
24,39,162,0,22,-74.19846146,4.621611653
114,114,386,14,43,-74.19845129,4.610909022
63,71,267,5,66,-74.19844053,4.637768247
6,6,31,0,6,-74.19843108,4.616089032
41,69,235,8,42,-74.19841142,4.624822257
33,34,127,14,20,-74.19840289,4.623452579
14,25,100,0,11,-74.19840116,4.602983515
66,81,326,13,11,-74.1983925,4.626896658
50,66,236,27,43,-74.1983896,4.628282397
106,106,356,8,39,-74.19838134,4.609423828
25,35,125,7,24,-74.19837937,4.603607071
42,42,150,5,20,-74.1983767,4.607491775
20,20,91,0,15,-74.19837088,4.615118847
75,82,304,14,68,-74.19835982,4.634452
19,44,152,9,19,-74.19835886,4.605423833
168,179,771,11,1,-74.19835698,4.629570303
48,52,188,7,48,-74.19834667,4.635950295
19,19,86,0,13,-74.19833754,4.616481719
44,44,173,0,38,-74.19832015,4.624539049
16,26,103,0,16,-74.19830598,4.625838162
25,32,141,8,19,-74.19830458,4.600715908
47,53,206,6,41,-74.19829846,4.622380473
26,27,103,6,30,-74.19828742,4.641590283
52,103,511,0,1,-74.19826861,4.642261533
11,12,47,0,12,-74.1982651,4.620529358
35,35,138,0,27,-74.19823792,4.615774655
50,62,230,0,42,-74.19823545,4.624270717
32,68,220,8,29,-74.19822926,4.604335397
32,55,212,10,26,-74.19822845,4.602749853
16,24,86,5,14,-74.19822453,4.59983248
49,49,199,0,46,-74.19819776,4.635693938
72,81,305,0,70,-74.19819028,4.637916837
43,46,185,7,43,-74.19816259,4.637093474
4,4,12,0,29,-74.19815597,4.613197692
16,32,112,0,22,-74.19815467,4.6235585
50,55,247,8,45,-74.1981523,4.624002904
20,24,93,0,30,-74.19815049,4.641343761
38,39,159,6,28,-74.19814783,4.613484675
32,33,137,0,24,-74.1981442,4.613779599
66,64,214,14,30,-74.19813992,4.60864922
43,63,230,6,42,-74.19813653,4.628402184
100,100,341,16,37,-74.19813245,4.606542076
37,42,159,0,38,-74.19812582,4.627116048
23,36,123,6,18,-74.19810815,4.601887926
18,18,74,0,14,-74.19810509,4.615064592
30,30,111,0,22,-74.19810507,4.614068053
41,38,154,0,36,-74.19810486,4.612875877
28,27,92,0,21,-74.19809969,4.616950965
14,14,57,0,10,-74.19809346,4.614358232
18,19,75,0,14,-74.19809263,4.621199207
69,70,234,6,66,-74.19809188,4.634618514
33,32,121,0,21,-74.19809122,4.616478456
38,38,135,0,13,-74.19809052,4.614650031
21,21,78,0,21,-74.19809014,4.618111407
47,48,200,8,45,-74.19805609,4.635449282
21,22,101,0,17,-74.19804303,4.625936014
22,23,96,0,20,-74.19803647,4.617245427
30,50,135,0,33,-74.19800355,4.641099572
113,84,335,0,1,-74.19798724,4.630928846
31,82,288,9,28,-74.19798277,4.605230007
36,36,132,7,42,-74.1979764,4.612543991
26,26,110,0,26,-74.1979716,4.615719697
21,21,68,0,18,-74.1979625,4.617548853
42,45,176,8,42,-74.19796012,4.633740357
20,20,83,0,21,-74.19795331,4.617847437
8,9,31,0,5,-74.19794745,4.621693369
72,73,260,11,31,-74.19792566,4.607594594
97,97,345,6,44,-74.19792491,4.611800291
63,79,262,0,26,-74.19791928,4.601245261
25,24,91,7,15,-74.19791217,4.623684329
63,120,412,9,47,-74.19789378,4.602966613
