"mgrid","Latitud.Inferior","Latitud.Superior","Longitud.Inferior","Longitud.Superior","semaf_count_m","colegios_count_m","paraderos_count_m","parques_count_m","estaciones_count_m","viasprincipales_count_m","viassecundarias_count_m","viviendas_count_m","hogares_count_m","personas_count_m","comercial_count_m","lotes_count_m"
177,4.55304,4.56538,-74.13672,-74.12336,3,14,25,8,2,1,585,7271,11060,39434,1718,4997
178,4.55304,4.56538,-74.12336,-74.11,5,17,53,68,1,1,1421,14503,14909,55037,1158,7070
179,4.55304,4.56538,-74.11,-74.09664,5,9,31,72,1,1,1627,15265,16241,60412,1048,7463
180,4.55304,4.56538,-74.09664,-74.08327,2,16,65,29,0,1,1020,17589,19101,67755,1630,7845
181,4.54071,4.55304,-74.17681,-74.16345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,4.54071,4.55304,-74.16345,-74.15009,NA,9,62,30,0,NA,1556,6922,8435,34275,367,6232
183,4.54071,4.55304,-74.15009,-74.13672,NA,21,64,33,0,2,1474,10449,16280,62497,1108,8786
184,4.54071,4.55304,-74.13672,-74.12336,NA,1,3,3,0,1,91,550,735,2877,16,359
185,4.54071,4.55304,-74.12336,-74.11,1,9,30,18,0,NA,800,9920,10287,38488,848,5255
186,4.54071,4.55304,-74.11,-74.09664,NA,16,52,25,0,1,1174,13163,13889,51053,1045,6133
187,4.54071,4.55304,-74.09664,-74.08327,1,27,58,26,0,NA,1231,8337,8895,32024,971,3901
188,4.52837,4.54071,-74.13672,-74.12336,NA,NA,6,7,0,3,142,443,532,2103,8,771
189,4.52837,4.54071,-74.12336,-74.11,3,6,31,13,1,NA,616,5356,6046,23081,665,2851
190,4.52837,4.54071,-74.11,-74.09664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,4.52837,4.54071,-74.09664,-74.08327,NA,14,36,31,0,1,942,NA,NA,NA,NA,NA
192,4.51603,4.52837,-74.13672,-74.12336,NA,1,3,1,0,1,75,409,425,1696,29,180
193,4.51603,4.52837,-74.12336,-74.11,5,13,38,44,0,1,1284,11276,13669,51964,1610,5844
194,4.51603,4.52837,-74.11,-74.09664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,4.50369,4.51603,-74.15009,-74.13672,NA,NA,7,6,0,NA,218,336,337,1262,40,333
196,4.50369,4.51603,-74.13672,-74.12336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,4.50369,4.51603,-74.12336,-74.11,3,29,46,25,0,1,1160,14397,16281,59746,2728,5977
198,4.50369,4.51603,-74.11,-74.09664,2,10,40,35,0,NA,1033,6220,6716,25212,859,3482
199,4.49135,4.50369,-74.15009,-74.13672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,4.49135,4.50369,-74.13672,-74.12336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,4.49135,4.50369,-74.12336,-74.11,NA,12,35,32,0,NA,1016,4643,5126,19040,671,2560
202,4.49135,4.50369,-74.11,-74.09664,3,13,40,35,0,NA,1163,3811,4159,15400,508,2312
203,4.47901,4.49135,-74.13672,-74.12336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,4.47901,4.49135,-74.12336,-74.11,NA,1,16,12,0,NA,351,NA,NA,NA,NA,NA
205,4.47901,4.49135,-74.11,-74.09664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,4.46667,4.47901,-74.15009,-74.13672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,4.46667,4.47901,-74.13672,-74.12336,NA,2,13,9,0,1,116,NA,NA,NA,NA,NA
208,4.45434,4.46667,-74.15009,-74.13672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
