OBJECTID,Identificador unico del nodo,Nombre del nodo,Tipo del nodo,Modo de transporte,Modalidad de transporte,Dirección,coord_x,coord_y
9,E146,PRADO,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 128B,"-74,05258366499999","4,714537562654777"
10,E60,PUENTE ARANDA,Estación,Terrestre,Transporte masivo,AC 13 - KR 47,"-74,10476125050002","4,625762588151882"
11,E139,SUBA CALLE 100,Estación,Terrestre,Transporte masivo,Avenida Suba -CL 100,"-74,06567507049999","4,6905271206540124"
12,E40,MUNDO AVENTURA,Estación,Terrestre,Transporte masivo,Avenida de las Americas - KR 71A,"-74,13423643550001","4,630091127652017"
13,E56,RICAURTE,Estación,Terrestre,Transporte masivo,AK 30 - CL 10,"-74,09393841299999","4,61159445715143"
14,E129,RIONEGRO,Estación,Terrestre,Transporte masivo,Avenida Suba -CL 92,"-74,064762336","4,680425765653693"
15,E128,SAN MARTIN,Estación,Terrestre,Transporte masivo,Avenida Suba -CL 86,"-74,06712891000001","4,676460206653543"
16,E31,BIBLIOTECA TINTAL,Estación,Terrestre,Transporte masivo,Avenida Ciudad de Cali -CL 26 Sur,"-74,1593979555","4,637857273152267"
17,E112,BOYACA,Estación,Terrestre,Transporte masivo,AC 80 - KR 70F,"-74,0871518955","4,693969148654118"
18,E84,CAD,Estación,Terrestre,Transporte masivo,AK 30 - CL 22C,"-74,084212226","4,623373146151824"
19,E142,CALLE 100,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 95,"-74,05770388600001","4,683862334153779"
20,E145,CALLE 127,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 124,"-74,0542555865","4,704554802154478"
21,E159,CALLE 146,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 147,"-74,04977004450001","4,7311976461553265"
22,E156,21 ANGELES,Estación,Terrestre,Transporte masivo,Avenida Suba - KR 84A,"-74,080945394","4,735488079655454"
23,E35,ALQUERIA,Estación,Terrestre,Transporte masivo,Autopista Sur - KR 52A,"-74,13425647700001","4,594263807650871"
24,E143,CALLE 106,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 104A,"-74,0561865985","4,692976651654087"
25,E124,CALLE 76,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 75,"-74,06127712199998","4,662966706653121"
26,E162,TOBERÍN,Estación,Terrestre,Transporte masivo,Autopista Norte - CL 166,"-74,04714203750001","4,74700051015583"
27,E19,RESTREPO,Estación,Terrestre,Transporte masivo,Avenida Caracas - CL 20 Sur,"-74,1014905495","4,58180262415047"
28,P107,PORTAL DE LA 80,Portal,Terrestre,Transporte masivo,AC 80 96-08,"-74,11037714150001","4,709553154154639"
29,P8,PORTAL DE USME,Portal,Terrestre,Transporte masivo,Avenida Caracas - CL 65 Sur,"-74,12022165849999","4,5308266231488545"
30,P29,PORTAL AMÉRICAS,Portal,Terrestre,Transporte masivo,Avenida Ciudad de Cali 43-55 Sur,"-74,1739974795","4,630837207652071"
31,P163,PORTAL DEL NORTE,Portal,Terrestre,Transporte masivo,Autopista Norte - CL 174,"-74,04603607600001","4,754627614656071"
32,E135,AVENIDA 68,Estación,Terrestre,Transporte masivo,AC 80 - KR 68C,"-74,080537136","4,685789689653829"
33,E117,CARRERA 53,Estación,Terrestre,Transporte masivo,AC 80 - KR 64,"-74,07737487449998","4,681773631153744"
