FID,Código Único Paradero SITP,Nombre Paradero,Dirección Paradero,coord_x,coord_y
1901,636B08,Br. Patio Bonito II Sector,AV. C. Cali - CL 6,"-74,15759124455873","4,639637974473463"
1905,210B08,Br. Patio Bonito,AV. C. de Cali - CL 34 Bis Sur,"-74,16099300284294","4,636658299386527"
1913,018A08,CL 53 S,AV. C. de Cali - CL 53 Sur,"-74,17860432396947","4,6247279121615215"
1925,026B08,Br. Llano Grande,AV. C. de Cali - CL 40D Sur,"-74,16642910837746","4,6314331753155455"
1929,028B08,Br. Saucedal,AV. C. Cali - CL 37 Sur,"-74,1623720075339","4,634893445964108"
1940,126B07,Uniagustiniana,AV. C. Cali - CL 11A,"-74,14372385809298","4,652205860333482"
1950,029A06,Centro Empresarial Dorado Plaza,AV. C. de Cali - CL 25B,"-74,1224920389106","4,675420986222463"
1957,006A04,Br. La Soledad Norte,AV. C. Cali - CL 74,"-74,1047173618446","4,697807071483174"
1961,011A04,Br. La Serena,AV. C. Cali - AC 90,"-74,0941717261106","4,710249656989684"
1964,593A03,Br. Rincón de Suba,AV. C. Cali - KR 93C,"-74,09583299224363","4,721036600586496"
1988,069A06,Maloka,AV. Esperanza - KR 69,"-74,11016039788153","4,655201007650966"
1989,070A06,Br. La Esperanza Norte,AV. Esperanza - KR 69D,"-74,112089936891","4,658130838214477"
1996,108A06,Urb. Villas del Pinar,AV. Esperanza - KR 90,"-74,12622244763813","4,673264461086596"
1999,152A06,Iglesia San José de Fontibón,AV. Esperanza - KR 99,"-74,13320718673869","4,680701309515301"
2021,139A06,EAAB,AV. Esperanza - KR 37,"-74,091574807117","4,628687186371917"
2027,062A05,Br. Los Alamos Sector Industrial,AC 63 - TV 93,"-74,11985039908718","4,6913125359034265"
2035,206A05,Parque Público Villa Gladys II,AC 63 - KR 111C,"-74,13464768650074","4,702564235963281"
2039,208A05,Br. Marandú,AC 63 - KR 112,"-74,13649387981816","4,70377208315522"
2042,207B05,Br. San Antonio Urbano,AC 63 - KR 111,"-74,13365093831936","4,701624348671908"
2043,204A05,Br. San Antonio Engativá,AC 63 - KR 109A,"-74,1302982765587","4,6990416389683425"
2046,201A05,Centro Artesanal El Dorado,AC 63 - AK 96,"-74,12004906420721","4,691147750384601"
2047,201B05,Centro Artesanal El Dorado,AC 63 - AK 96,"-74,12011594827169","4,69126125457891"
2051,077A05,Parroquia San Carlos Borromeo,AC 63 - KR 77A,"-74,10957220977957","4,679458690224732"
2052,375A05,Pq Empresarial Normandía,AC 63 - KR 73A,"-74,10681211810281","4,677066470090191"
2063,316B10,Br. Muzú,AV. J. Gaitán C. - DG 58 Sur,"-74,1431006851023","4,579833791603614"
2075,013B10,Br. Muzú,AV. J. Gaitán C. - AV. Boyacá,"-74,1426761233327","4,579983640166619"
2077,009A10,Br. El Carmen,AV. J. Gaitán C. - DG 49B Sur,"-74,13773869776524","4,584298296438228"
2083,123A00,Br. La Castellana,AV. NQS - CL 89A,"-74,06101732813681","4,6779484943800265"
2090,455A05,Br. El Rosario,AV. NQS - CL 63C,"-74,07838569001326","4,6551054825528455"
2101,069A07,Estación Paloquemao,AV. NQS - CL 17A,"-74,08917461108575","4,617776605952052"
2108,587A08,Br. Santa Matilde,AV. NQS - CL 1,"-74,10676471670021","4,5988891448293385"
2109,346A00,Br. Santa Isabel,AV. NQS - AC 8 Sur,"-74,10644536112514","4,5985739629924725"
2121,176A00,Estación U. Nacional,AV. NQS - CL 45A,"-74,07913823926948","4,635844083903412"
2124,208A00,Estadio El Campín,AV. NQS - CL 53,"-74,07862741587643","4,643664262149788"
2133,771A00,Estación La Castellana,AV. NQS - CL 85A,"-74,06461864087318","4,675232190574826"
2141,023A05,Br. Normandía,AK 70 - CL 51,"-74,10581912398101","4,66675720769805"
2154,212A09,Urbanización El Llano de Bosa,KR 78C - DG 69B Sur,"-74,19064762016535","4,602237952185293"
2157,167A09,Calle 71D,TV 78D - CL 71D Sur,"-74,19643928248257","4,604680088394934"
2161,149A09,Pq. la Esperanza,KR 80J - CL 75 Sur,"-74,20375326401624","4,609982160547235"
2163,127A09,Br. San José,KR 80I - CL 85B Sur,"-74,21032250624677","4,6129669128826984"
2164,124A09,Br. San Diego,TV 80I - DG 89B Sur,"-74,21321523507355","4,614356376511003"
2170,136A09,Br. Manzanares,TV 79D - CL 74A - 36 Sur,"-74,2017954792793","4,6086646525320365"
2173,166A09,Br. Carlos Albán Holguín,TV 79D - CL 72B Sur,"-74,19789399988063","4,605714000107405"
2185,196A03,Portal de Suba,AV. Suba - KR 106,"-74,0970708338742","4,746824716507454"
2191,208A03,Br. Niza Suba,AV. Suba - KR 77,"-74,07718225385806","4,732813187812329"
2221,614A03,Br. Villa Lorena,AV. Suba - KR 84A,"-74,08209288986711","4,73684693043845"
2243,030A10,Br. Verona,AV. V/cio - KR 48,"-74,15538424380577","4,576920547346942"
2247,313A10,Br. El Ensueño,AV. V/cio - TV 63,"-74,1578357740639","4,5815357576381075"
2271,023A09,Br. Olarte,AV. V/cio - CL 54A Sur,"-74,16207351083972","4,6025950630561"
2272,063A09,Urb. Gecolsa,AV. V/cio - CL 57H Sur,"-74,16229672961141","4,597507539675329"
2274,092A10,Br. Balmoral,AV. V/cio - CL 62B Sur,"-74,1615561944238","4,59068856220077"
